Company,Location_HQ,Industry,Laid_Off_Count,Date,Source,Funds_Raised,Stage,Date_Added,Country,Percentage,List_of_Employees_Laid_Off
Livspace,Bengaluru,Retail,100,17-03-2023 00:00,https://inc42.com/buzz/exclusive-home-decor-unicorn-livspace-lays-off-100-employees/,431,Series F,20-03-2023 03:46,India,,Unknown
Candor Technology,Atlanta,Real Estate,,17-03-2023 00:00,https://www.housingwire.com/articles/mortgage-ai-firm-candor-conducts-layoffs/,23,Unknown,17-03-2023 23:48,United States,,Unknown
Coherent,SF Bay Area,Manufacturing,108,16-03-2023 00:00,https://www.siliconvalley.com/2023/03/16/coherent-fremont-job-cut-tech-layoff-google-facebook-twitter-economy/,,Post-IPO,17-03-2023 04:11,United States,,Unknown
Runtastic,Linz,Fitness,70,16-03-2023 00:00,"https://www.nachrichten.at/wirtschaft/runtastic-streicht-70-von-250-stellen-in-oesterreich;art15,3804088a",,Acquired,16-03-2023 15:14,Austria,0.28,Unknown
Course Hero,SF Bay Area,Education,42,16-03-2023 00:00,https://techcrunch.com/2023/03/16/course-hero-edtech-unicorn-last-valued-at-3-6-billion-conducts-layoffs/,477,Series C,16-03-2023 21:24,United States,0.15,Unknown
Leafly,Seattle,Retail,40,16-03-2023 00:00,https://www.geekwire.com/2023/leafly-reportedly-lays-off-employees-for-second-time-in-a-year/,71,Post-IPO,17-03-2023 00:24,United States,0.21,Unknown
Bonusly,Boulder,HR,,16-03-2023 00:00,https://www.bizjournals.com/denver/news/2023/03/16/boulder-software-startup-bonusly-layoffs.html,31,Series B,17-03-2023 23:50,United States,,Unknown
Freshworks,SF Bay Area,Support,,16-03-2023 00:00,https://www.moneycontrol.com/news/business/freshworks-undertakes-another-round-of-layoffs-10259901.html,484,Post-IPO,16-03-2023 15:15,United States,0.02,Unknown
Klaviyo,Boston,Marketing,140,15-03-2023 00:00,https://techcrunch.com/2023/03/15/klaviyo-conducts-company-wide-layoffs/,778,Unknown,16-03-2023 01:12,United States,,Unknown
Dukaan,Bengaluru,Retail,56,15-03-2023 00:00,https://inc42.com/buzz/exclusive-lightspeed-backed-dukaan-lays-off-30-workforce/,17,Series A,16-03-2023 15:16,India,0.3,Unknown
